Year,Team,Players,Position,BaseSalary,BaseNum,GK_Score,D_tackles_won_pct,D_interceptions,D_clearances,D_pressure_regain_pct,M_passes,M_passes_pct,F_goals,F_shots_on_target_pct
2019,brighton Hove Albion,Lewis Dunk,D,2340000,2.34,,0.651162791,36,162,43.1,2192,87.3,3,33.3
2019,brighton Hove Albion,Jose Izquierdo,F,2340000,2.34,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Davy Propper,M,2340000,2.34,,0.655172414,32,43,29.8,1785,83.1,1,25.8
2019,brighton Hove Albion,Shane Duffy,D,2080000,2.08,,0.5625,13,116,34,613,84,0,0
2019,brighton Hove Albion,Tariq Lamptey,D,1820000,1.82,,0,0,0,0,235,73.6,0,0
2019,brighton Hove Albion,Leandro Trossard,F,1820000,1.82,,0.571428571,10,5,26.8,795,71.3,5,31
2019,brighton Hove Albion,Ezequiel Schelotto,D,1664000,1.664,,0,0,0,0,169,71.6,0,0
2019,brighton Hove Albion,Alexis Mac Allister,M,1600000,1.6,,0,0,0,0,130,64.6,0,0
2019,brighton Hove Albion,Solly March,M,1560000,1.56,,0.653846154,12,19,27.8,601,72.4,0,38.1
2019,brighton Hove Albion,Glenn Murray,F,1560000,1.56,,0,0,0,0,177,65.5,1,23.5
2019,brighton Hove Albion,Dale Stephens,M,1560000,1.56,,0.526315789,39,46,32.3,1641,86.6,0,11.1
2019,brighton Hove Albion,Yves Bissouma,M,1300000,1.3,,0.620689655,16,22,29.2,622,84.4,1,37.5
2019,brighton Hove Albion,Bernardo Fernandes da Silva Junior,M,1300000,1.3,,0,0,0,0,383,74.7,0,0
2019,brighton Hove Albion,Gaetan Bong,D,1050000,1.05,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Leon Balogun,D,950000,0.95,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,David Button,GK,833333,0.833333,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Jason Steele,GK,833333,0.833333,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Dan Burn,D,832000,0.832,,0.571428571,26,148,35.3,1841,75.4,0,0
2019,brighton Hove Albion,Soufyan Ahannach,F,520000,0.52,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Robert Sánchez,GK,520000,0.52,,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Steven Alzate,F,0,0,0,0.821428571,10,14,32.8,664,84.9,0,23.1
2019,brighton Hove Albion,Billy Arce,F,0,0,0,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Viktor Gyökeres,F,0,0,0,0,0,0,0,0,0,0,0
2019,brighton Hove Albion,Aaron Mooy,M,0,0,0,0.720930233,18,29,29.7,1075,76.7,2,24.2
2019,brighton Hove Albion,Mathew Ryan,GK,1820000,1.82,0.965067651,0,0,0,0,0,0,0,0
2019,burnley Fc,Danny Drinkwater,M,5200000,5.2,,0,0,0,0,167,81.4,0,0
2019,burnley Fc,Ben Mee,D,2860000,2.86,,0.457142857,22,279,31.8,1172,74.7,1,27.8
2019,burnley Fc,James Tarkowski,D,2600000,2.6,,0.671052632,43,329,31.9,1250,73,2,20
2019,burnley Fc,Chris Wood,F,2600000,2.6,,0.6,5,17,22.6,483,64.6,14,43.8
2019,burnley Fc,Erik Pieters,D,2500000,2.5,,0.706896552,13,89,24.6,923,74.4,0,28.6
2019,burnley Fc,Steven Defour,M,2340000,2.34,,0,0,0,0,0,0,0,0
2019,burnley Fc,Joe Hart,GK,2340000,2.34,,0,0,0,0,0,0,0,0
2019,burnley Fc,Ashley Barnes,F,2080000,2.08,,0,0,0,0,253,61.3,6,28.2
2019,burnley Fc,Josh Brownhill,M,2080000,2.08,,0.533333333,5,16,27.9,340,81.2,0,0
2019,burnley Fc,Ben Gibson,D,2080000,2.08,,0,0,0,0,0,0,0,0
2019,burnley Fc,Jack Cork,M,1976000,1.976,,0.692307692,25,57,28.4,933,79.6,0,27.8
2019,burnley Fc,Robbie Brady,M,1820000,1.82,,0.5,6,8,22.2,167,64.7,1,8.3
2019,burnley Fc,Jeff Hendrick,M,1820000,1.82,,0.555555556,14,19,19.4,575,73,2,27.3
2019,burnley Fc,Aaron Lennon,F,1820000,1.82,,0.6,8,6,18.9,131,70.2,0,0
2019,burnley Fc,Jay Rodriguez,F,1820000,1.82,,0.515151515,4,7,26.2,495,69.7,8,39.4
2019,burnley Fc,Matej Vydra,F,1820000,1.82,,0,0,0,0,138,73.9,2,55.6
2019,burnley Fc,Ashley Westwood,M,1612000,1.612,,0.625,27,32,25,1854,74.5,2,23.1
2019,burnley Fc,Johann Berg Gudmundsson,M,1560000,1.56,,0,0,0,0,192,68.8,1,18.2
2019,burnley Fc,Phil Bardsley,D,1300000,1.3,,0.6,15,88,27.8,897,66.8,0,41.7
2019,burnley Fc,Matthew Lowton,D,1300000,1.3,,0.545454545,16,79,29.7,726,68.5,0,0
2019,burnley Fc,Charlie Taylor,D,1300000,1.3,,0.372093023,13,106,29,1035,70.1,0,0
2019,burnley Fc,Kevin Long,D,1196000,1.196,,0.8,1,39,32.1,186,75.8,0,0
2019,burnley Fc,Bailey Peacock-Farrell,GK,500000,0.5,,0,0,0,0,0,0,0,0
2019,burnley Fc,Adam Legzdins,GK,260000,0.26,,0,0,0,0,0,0,0,0
2019,burnley Fc,Nick Pope,GK,1820000,1.82,0.967527675,0,0,0,0,0,0,0,0
2019,chelsea Fc,Christian Pulisic,F,8250000,8.25,,0.612903226,2,11,29.3,700,78,9,40.3
2019,chelsea Fc,César Azpilicueta,D,7540000,7.54,,0.598039216,39,146,32.7,2838,79.9,2,20.7
2019,chelsea Fc,N'Golo Kante,M,7500000,7.5,,0,0,0,0,1140,85.5,3,33.3
2019,chelsea Fc,Willian da Silva,M,7200000,7.2,,0,0,0,0,1600,77.9,9,38.8
2019,chelsea Fc,Callum Hudson-Odoi,F,6240000,6.24,,0,0,0,0,476,80.7,1,18.2
2019,chelsea Fc,Tiemoué Bakayoko,M,5720000,5.72,,0,0,0,0,0,0,0,0
2019,chelsea Fc,Jorge Luiz Frello Filho,M,5720000,5.72,,0,0,0,0,2221,88,4,10
2019,chelsea Fc,Olivier Giroud,F,5720000,5.72,,0,0,0,0,306,67.6,8,48.7
2019,chelsea Fc,Marcos Alonso,D,5200000,5.2,,0.703703704,14,48,40.9,1108,82.7,4,26.7
2019,chelsea Fc,Mateo Kovacic,M,5200000,5.2,,0,0,0,0,1846,90.2,1,23.8
2019,chelsea Fc,Antonio Rudiger,D,5200000,5.2,,0,0,0,0,1449,87.8,2,27.3
2019,chelsea Fc,Ross Barkley,M,5000000,5,,0.6875,6,12,28.6,616,87.7,1,30
2019,chelsea Fc,Michy Batshuayi,F,4680000,4.68,,0,0,0,0,0,0,1,13.3
2019,chelsea Fc,Mason Mount,M,4600000,4.6,,0.645833333,14,16,28.1,1380,80.9,7,37.2
2019,chelsea Fc,Andreas Christensen,D,4160000,4.16,,0.487804878,15,104,36.5,1258,92.7,0,0
2019,chelsea Fc,Emerson Palmieri,D,3900000,3.9,,0.318181818,10,22,34.9,853,82.8,0,53.8
2019,chelsea Fc,Tammy Abraham,F,3000000,3,,0.714285714,5,26,30.2,412,69.9,15,39.8
2019,chelsea Fc,Pedro Rodríguez Ledesma,M,3000000,3,,0,0,0,0,0,0,1,39.1
