"Year","Team","Players","Position","Base.Salary","Base.Num"
"2018","arsenal Fc","Mesut Ozil","M","18200000",18.2
"2018","arsenal Fc","Pierre-Emerick Aubameyang","F","10400000",10.4
"2018","arsenal Fc","Alexandre Lacazette","F","9467273",9.467273
"2018","arsenal Fc","Henrikh Mkhitaryan","M","9360000",9.36
"2018","arsenal Fc","Danny Welbeck","F","6500000",6.5
"2018","arsenal Fc","Aaron Ramsey","M","6240000",6.24
"2018","arsenal Fc","Hector Bellerin","D","5720000",5.72
"2018","arsenal Fc","Petr Cech","GK","5720000",5.72
"2018","arsenal Fc","Sead Kolasinac","D","5200000",5.2
"2018","arsenal Fc","Bernd Leno","GK","5200000",5.2
"2018","arsenal Fc","Granit Xhaka","M","5200000",5.2
"2018","arsenal Fc","Sokratis Papastathopoulos","D","4784000",4.784
"2018","arsenal Fc","Laurent Koscielny","D","4680000",4.68
"2018","arsenal Fc","Shkodran Mustafi","D","4680000",4.68
"2018","arsenal Fc","Stephan Lichtsteiner","D","3900000",3.9
"2018","arsenal Fc","Lucas Torreira","M","3900000",3.9
"2018","arsenal Fc","Nacho Monreal","D","3640000",3.64
"2018","arsenal Fc","Mohamed Elneny","M","2600000",2.6
"2018","arsenal Fc","Alex Iwobi","F","2600000",2.6
"2018","arsenal Fc","Carl Jenkinson","D","2340000",2.34
"2018","arsenal Fc","Edward Nketiah","F","2340000",2.34
"2018","arsenal Fc","Matteo Guendouzi","M","2080000",2.08
"2018","arsenal Fc","Ainsley Maitland-Niles","M","1820000",1.82
"2018","arsenal Fc","Rob Holding","D","1300000",1.3
"2018","arsenal Fc","Konstantinos Mavropanos","D","1300000",1.3
"2018","arsenal Fc","Emiliano Martinez","GK","1040000",1.04
"2018","arsenal Fc","Reiss Nelson","M","780000",0.78
"2018","arsenal Fc","Dejan Iliev","GK",NA,NA
"2018","aston Villa Fc","Henri Lansbury","M","2080000",2.08
"2018","aston Villa Fc","Jack Grealish","M","1820000",1.82
