"Year","Team","Players","Position","Base.Salary","Base.Num"
"2017","chelsea Fc","Cesc Fàbregas","M","8112000",8.112
"2017","chelsea Fc","Willian da Silva","M","7200000",7.2
"2017","chelsea Fc","Thibaut Courtois","GK","6240000",6.24
"2017","chelsea Fc","N'Golo Kante","M","6240000",6.24
"2017","chelsea Fc","David Luiz","D","6240000",6.24
"2017","chelsea Fc","Tiemoué Bakayoko","M","5720000",5.72
"2017","chelsea Fc","César Azpilicueta","D","5200000",5.2
"2017","chelsea Fc","Gary Cahill","D","5200000",5.2
"2017","chelsea Fc","Danny Drinkwater","M","5200000",5.2
"2017","chelsea Fc","Pedro Rodríguez Ledesma","M","5200000",5.2
"2017","chelsea Fc","Antonio Rudiger","D","5200000",5.2
"2017","chelsea Fc","Marcos Alonso","D","4680000",4.68
"2017","chelsea Fc","Victor Moses","D","3900000",3.9
"2017","chelsea Fc","Davide Zappacosta","D","3640000",3.64
"2017","chelsea Fc","Olivier Giroud","F","3120000",3.12
"2017","chelsea Fc","Tammy Abraham","F","3000000",3
"2017","chelsea Fc","Ross Barkley","M","2600000",2.6
"2017","chelsea Fc","Willy Caballero","GK","2080000",2.08
"2017","chelsea Fc","Kurt Zouma","D","2080000",2.08
"2017","chelsea Fc","Emerson Palmieri","D","1950000",1.95
"2017","chelsea Fc","Andreas Christensen","D","1820000",1.82
"2017","chelsea Fc","Lewis Baker","M","1040000",1.04
"2017","chelsea Fc","Charly Musonda","M","550000",0.55
"2017","chelsea Fc","Matej Delac","GK","468000",0.468
"2017","chelsea Fc","Jake Clarke-Salter","D","260000",0.26
"2017","chelsea Fc","Ethan Ampadu","M","156000",0.156
"2017","chelsea Fc","Kyle Scott","M","156000",0.156
"2017","chelsea Fc","Lucas Piazón","F",NA,NA
"2017","crystal Palace","Christian Benteke","F","6240000",6.24
"2017","crystal Palace","Mamadou Sakho","D","5200000",5.2
"2017","crystal Palace","Wilfried Zaha","F","5200000",5.2
"2017","crystal Palace","Yohan Cabaye","M","4472000",4.472
"2017","crystal Palace","Scott Dann","D","3120000",3.12
"2017","crystal Palace","Connor Wickham","F","3120000",3.12
