Year,Team,Players,Position,Base.Salary,Base.Num
2019,burnley Fc,Bailey Peacock-Farrell,GK,500000,0.5
2019,burnley Fc,Adam Legzdins,GK,260000,0.26
2019,burnley Fc,Nick Pope,GK,"1,820,000",1.82
2019,chelsea Fc,Christian Pulisic,F,8250000,8.25
2019,chelsea Fc,César Azpilicueta,D,7540000,7.54
2019,chelsea Fc,N'Golo Kante,M,7500000,7.5
2019,chelsea Fc,Willian da Silva,M,7200000,7.2
2019,chelsea Fc,Callum Hudson-Odoi,F,6240000,6.24
2019,chelsea Fc,Tiemoué Bakayoko,M,5720000,5.72
2019,chelsea Fc,Jorge Luiz Frello Filho,M,5720000,5.72
2019,chelsea Fc,Olivier Giroud,F,5720000,5.72
2019,chelsea Fc,Marcos Alonso,D,5200000,5.2
2019,chelsea Fc,Mateo Kovacic,M,5200000,5.2
2019,chelsea Fc,Antonio Rudiger,D,5200000,5.2
2019,chelsea Fc,Ross Barkley,M,5000000,5
2019,chelsea Fc,Michy Batshuayi,F,4680000,4.68
2019,chelsea Fc,Mason Mount,M,4600000,4.6
2019,chelsea Fc,Andreas Christensen,D,4160000,4.16
2019,chelsea Fc,Emerson Palmieri,D,3900000,3.9
2019,chelsea Fc,Tammy Abraham,F,3000000,3
2019,chelsea Fc,Pedro Rodríguez Ledesma,M,3000000,3
2019,chelsea Fc,Marco van Ginkel,M,2750000,2.75
2019,chelsea Fc,Reece James,D,2600000,2.6
2019,chelsea Fc,Billy Gilmour,M,2250000,2.25
2019,chelsea Fc,Kurt Zouma,D,2080000,2.08
2019,chelsea Fc,Ruben Loftus-Cheek,F,1560000,1.56
2019,chelsea Fc,Isaiah Brown,F,1300000,1.3
2019,chelsea Fc,Fikayo Tomori,D,750000,0.75
2019,chelsea Fc,Charly Musonda,M,550000,0.55
2019,chelsea Fc,Danilo Pantic,M,0,0
2019,chelsea Fc,Willy Caballero,GK,"1,820,000",1.82
2019,chelsea Fc,Kepa Arrizabalaga,GK,"7,800,000",7.8
2019,crystal Palace,Wilfried Zaha,F,6760000,6.76
2019,crystal Palace,Max Meyer,M,6500000,6.5
2019,crystal Palace,Christian Benteke,F,6240000,6.24
2019,crystal Palace,Mamadou Sakho,D,5200000,5.2
2019,crystal Palace,Wilfried Zaha,F,5200000,5.2
2019,crystal Palace,Gary Cahill,D,3380000,3.38
2019,crystal Palace,Cheikhou Kouyate,M,3380000,3.38
2019,crystal Palace,Scott Dann,D,3120000,3.12
2019,crystal Palace,Connor Wickham,F,3120000,3.12
2019,crystal Palace,Jeffrey Schlupp,D,2912000,2.912
2019,crystal Palace,James McArthur,M,2860000,2.86
2019,crystal Palace,Luka Milivojevic,M,2860000,2.86
2019,crystal Palace,Jairo Riedewald,D,2860000,2.86
2019,crystal Palace,Andros Townsend,F,2860000,2.86
2019,crystal Palace,Patrick Van Aanholt,D,2860000,2.86
2019,crystal Palace,James McCarthy,M,2600000,2.6
2019,crystal Palace,James Tomkins,D,2600000,2.6
2019,crystal Palace,Wayne Hennessey,GK,2080000,2.08
2019,crystal Palace,Joel Ward,D,1820000,1.82
2019,crystal Palace,Jordan Ayew,F,1690000,1.69
2019,crystal Palace,Martin Kelly,D,1300000,1.3
2019,crystal Palace,Victor Camarasa,M,0,0
2019,crystal Palace,Stephen Henderson,GK,0,0
2019,crystal Palace,Jaroslaw Jach,D,0,0
2019,crystal Palace,Vicente Guaita,GK,"3,120,000",3.12
2019,everton Fc,Bernard Anicio Caldeira Duarte,M,6240000,6.24
2019,everton Fc,Yerry Mina,D,6240000,6.24
2019,everton Fc,Andre Gomes,M,5835000,5.835
2019,everton Fc,Morgan Schneiderlin,M,5200000,5.2
2019,everton Fc,Gylfi Sigurdsson,M,5200000,5.2
2019,everton Fc,Theo Walcott,F,5200000,5.2
2019,everton Fc,Richarlison de Andrade,F,4680000,4.68
2019,everton Fc,Lucas Digne,D,4680000,4.68
2019,everton Fc,Fabian Delph,M,4160000,4.16
2019,everton Fc,Seamus Coleman,D,3640000,3.64
2019,everton Fc,Leighton Baines,D,3380000,3.38
2019,everton Fc,Jean-Philippe Gbamin,M,3380000,3.38
2019,everton Fc,Michael Keane,D,3120000,3.12
2019,everton Fc,Cenk Tosun,F,3120000,3.12
2019,everton Fc,Oumar Niasse,F,2860000,2.86
2019,everton Fc,Moise Kean,F,2765000,2.765
2019,everton Fc,Alex Iwobi,F,2600000,2.6
2019,everton Fc,Cuco Martina,D,1820000,1.82
2019,everton Fc,Tom Davies,M,1300000,1.3
2019,everton Fc,Mason Holgate,D,1300000,1.3
2019,everton Fc,Dominic Calvert-Lewin,F,1040000,1.04
2019,everton Fc,Beni Baningime,M,416000,0.416
2019,everton Fc,Djibril Sidibe,D,0,0
2019,everton Fc,Joao Virginia,GK,0,0
2019,everton Fc,Jordan Pickford,GK,"5,200,000",5.2
2019,fulham Fc,André Schurrle,F,5408000,5.408
