,Year,Team,winsperc,Salary
0,2017,ManC,0.8421052631578947,126.49
1,2017,ManU,0.6578947368421053,135.72000000000003
2,2017,Tott,0.6052631578947368,78.988
3,2017,Liverp,0.5526315789473685,86.824
4,2017,Chels,0.5526315789473685,117.79200000000003
5,2017,Ars,0.5,117.78327300000007
6,2017,Burn,0.3684210526315789,36.24399999999999
7,2017,Ever,0.34210526315789475,77.792
8,2017,LeicC,0.3157894736842105,59.644
9,2017,NewU,0.3157894736842105,46.17599999999999
10,2017,CrystP,0.2894736842105263,65.75399999999999
11,2017,WestHam,0.2631578947368421,68.64000000000001
12,2017,Bright,0.23684210526315788,38.55799999999999
13,2017,Southam,0.18421052631578946,62.410399999999996
14,2017,WestBrom,0.15789473684210525,57.824000000000005
15,2018,ManC,0.8421052631578947,145.20599999999996
16,2018,Liverp,0.7894736842105263,122.2
17,2018,Chels,0.5526315789473685,128.483
18,2018,Tott,0.6052631578947368,86.346
19,2018,Ars,0.5526315789473685,130.991273
20,2018,ManU,0.5,148.98
21,2018,Wolves,0.42105263157894735,41.033
22,2018,Ever,0.39473684210526316,84.112
23,2018,LeicC,0.39473684210526316,79.508
24,2018,WestHam,0.39473684210526316,85.02
25,2018,CrystP,0.3684210526315789,69.888
26,2018,NewU,0.3157894736842105,46.17599999999999
27,2018,Burn,0.2894736842105263,41.87999999999999
28,2018,Southam,0.23684210526315788,70.09599999999999
29,2018,Bright,0.23684210526315788,38.860666
30,2018,Fulh,0.18421052631578946,42.3988
31,2019,Liverp,0.8421052631578947,128.16000000000003
32,2019,ManC,0.6842105263157895,146.521
33,2019,ManU,0.47368421052631576,157.59499999999997
34,2019,Chels,0.5263157894736842,121.28999999999996
35,2019,LeicC,0.47368421052631576,75.46900000000002
36,2019,Tott,0.42105263157894735,90.138
37,2019,Wolves,0.39473684210526316,48.900999999999996
38,2019,Ars,0.3684210526315789,111.66627300000002
39,2019,ShefU,0.3684210526315789,16.571999999999996
40,2019,Burn,0.39473684210526316,48.60399999999999
41,2019,Southam,0.39473684210526316,51.45600000000001
42,2019,Ever,0.34210526315789475,83.37599999999999
43,2019,NewU,0.2894736842105263,49.361
44,2019,CrystP,0.2894736842105263,75.32199999999999
45,2019,Bright,0.23684210526315788,43.64266600000001
46,2019,WestHam,0.2631578947368421,72.42000000000002
47,2019,AstV,0.23684210526315788,38.09239599999999
