,year,player,squad,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
179,2019,Mattéo Guendouzi,Arsenal,MF,20,24,19,"1,748",0,1,0,0,6,0,0.00,0.05,0.00,0.05
180,2019,Frederic Guilbert,Aston Villa,DF,24,25,22,"2,041",0,2,0,0,7,0,0.00,0.09,0.00,0.09
181,2019,İlkay Gündoğan,Manchester City,MF,28,31,21,"2,020",2,1,1,2,7,0,0.09,0.13,0.04,0.09
182,2019,Angus Gunn,Southampton,GK,23,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00
183,2019,Sébastien Haller,West Ham,FW,25,32,24,"2,266",7,1,0,0,1,0,0.28,0.32,0.28,0.32
184,2019,Grant Hanley,Norwich City,DF,27,15,14,"1,262",0,0,0,0,4,0,0.00,0.00,0.00,0.00
185,2019,Kortney Hause,Aston Villa,DF,24,18,17,"1,545",1,0,0,0,3,0,0.06,0.06,0.06,0.06
186,2019,Isaac Hayden,Newcastle Utd,MF,24,29,26,"2,223",1,2,0,0,4,1,0.04,0.12,0.04,0.12
187,2019,Tom Heaton,Aston Villa,GK,33,20,20,"1,794",0,0,0,0,0,0,0.00,0.00,0.00,0.00
188,2019,Dean Henderson,Sheffield Utd,GK,22,36,36,"3,240",0,0,0,0,2,0,0.00,0.00,0.00,0.00
189,2019,Jordan Henderson,Liverpool,MF,29,30,26,"2,238",4,5,0,0,2,0,0.16,0.36,0.16,0.36
190,2019,Jeff Hendrick,Burnley,MF,27,24,22,"1,931",2,2,0,0,8,0,0.09,0.19,0.09,0.19
191,2019,Wayne Hennessey,Crystal Palace,GK,32,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00
192,2019,Javier Hernández,West Ham,FW,31,2,1,107,1,0,0,0,0,0,0.84,0.84,0.84,0.84
193,2019,Onel Hernández,Norwich City,"FW,MF",26,26,14,"1,384",1,2,0,0,0,0,0.07,0.20,0.07,0.20
194,2019,Son Heung-min,Tottenham,"FW,MF",27,30,28,"2,476",11,10,0,1,0,2,0.40,0.76,0.40,0.76
