Date,DIS_Indexed,SPY_Indexed
Jan 2011,100,100
Jan 2012,102.9966347,102.4595714
Jan 2013,139.4922826,119.9771837
Jan 2014,210.7714316,153.2890285
Jan 2015,262.3702176,175.5165144
Jan 2016,291.7357925,175.292792
Jan 2017,305.0337494,200.6308659
Jan 2018,326.4786068,244.0591791
Jan 2019,323.2604739,231.4935711
Jan 2020,445.0094632,306.2970219
Jan 2021,533.5309028,354.1994886
